frame,time_s,time_h,source_path,bbox_x0,bbox_y0,bbox_x1,bbox_y1,red_pixels,yellow_pixels,active_pixels,unknown_pixels_in_crop,width_px,height_px,dx_m,dy_m,water_area_m2,calcite_area_m2,active_area_m2,calcite_area_fraction,interface_length_m,calcite_equivalent_radius_m,pore_radius_mean_m,pore_radius_median_m,pore_radius_count,skeleton_length_m,throat_count,throat_length_mean_m,paper_phi,paper_sw,paper_sigma_w_s_m,paper_cec_meq_g,paper_qv_c_m3
11,1024.0,0.28444444444444444,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0011.png,193,217,1344,646,407267,88093,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,4.932982073643411e-06,1.0670179263565891e-06,6e-06,0.1778363210594315,0.004983268733850129,0.0005827884304742419,0.00030235524497293064,0.0002491368429922568,1914,0.006661288759689923,887,7.509908410022461e-06,0.7427550233805315,0.9776510965145201,0.25703182121031604,0.014820374931412163,1342119.1798730127
12,1924.0,0.5344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0012.png,193,217,1344,646,417949,77411,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.0623667635658915e-06,9.376332364341086e-07,6e-06,0.15627220607235143,0.005073934108527132,0.0005463130318521428,0.00028824028881823207,0.00023387239053552486,2375,0.008265705749354004,987,8.37457522730902e-06,0.7676736755828464,0.8491507529028405,0.26779465525676804,0.023519739422508235,1861164.9535988707
13,2824.0,0.7844444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0013.png,193,217,1344,646,425412,69948,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.152761627906977e-06,8.472383720930233e-07,6e-06,0.1412063953488372,0.004892829457364341,0.0005193114188918537,0.00028465234675085496,0.00022156286449938182,2287,0.007959439599483205,1015,7.841812413283946e-06,0.7899295307618799,0.6407917763397063,0.27855748930322,0.03687577293344552,2564179.2107518082
14,3724.0,1.0344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0014.png,193,217,1344,646,432818,62542,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.242466085271318e-06,7.575339147286822e-07,6e-06,0.12625565245478035,0.004517667958656331,0.0004910504395453162,0.00030296900950795057,0.00023808955948674706,1958,0.006814421834625323,895,7.613879144832763e-06,0.821362708693165,0.5166270177017179,0.289320323349672,0.05400384866912872,3071089.2811612096
15,4624.0,1.2844444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0015.png,193,217,1344,646,440883,54477,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.3401526162790704e-06,6.598473837209302e-07,6e-06,0.10997456395348837,0.004343217054263566,0.00045829678769426405,0.00031371437456528145,0.00026051981061354766,2109,0.007339946705426358,946,7.758928864087059e-06,0.8449129864437112,0.4246165069579382,0.300083157396124,0.0748046227862913,3590231.656630253
16,5524.0,1.5344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0016.png,193,217,1344,646,447878,47482,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.424878875968992e-06,5.751211240310077e-07,6e-06,0.09585352067183463,0.003898029715762274,0.00042786299154309176,0.0003259492888394294,0.00027440696009253736,1921,0.006685650839793282,1059,6.31317359753851e-06,0.8711946069618232,0.3796625358201405,0.310845991442576,0.08546183136504802,3303860.1140356306
17,6424.0,1.7844444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0017.png,193,217,1344,646,454270,41090,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.502301356589148e-06,4.976986434108528e-07,6e-06,0.0829497739018088,0.003515245478036176,0.00039802311307000194,0.00035763018175535496,0.00031702986206214484,1780,0.006194928940568476,686,9.030508659720811e-06,0.9039021704555857,0.3568074125353966,0.321608825489028,0.10441400685658139,2902561.9557395563
18,7324.0,2.0344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0018.png,193,217,1344,646,460506,34854,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.577834302325582e-06,4.2216569767441863e-07,6e-06,0.0703609496124031,0.0034729005167958658,0.0003665781160645638,0.00034023742591784284,0.00030195938257584814,2221,0.007729739987080104,1173,6.589718659062322e-06,0.9220397842150946,0.3375553410628846,0.33237165953548,0.08966794761186922,1982399.5410995628
19,8224.0,2.2844444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0019.png,193,217,1344,646,465795,29565,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.641896802325582e-06,3.581031976744186e-07,6e-06,0.05968386627906977,0.0030972545219638244,0.00033762077556601236,0.00036003833558039883,0.00031395252561444557,1852,0.006445510335917315,1006,6.4070679283472316e-06,0.934007025708823,0.31111523622815523,0.34313449358193204,0.09530779183970021,1760785.9084771902
20,9124.0,2.5344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0020.png,193,217,1344,646,471818,23542,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.714849806201551e-06,2.851501937984496e-07,6e-06,0.0475250322997416,0.0029304909560723515,0.0003012741703718896,0.00036150437210315413,0.00031327459435943005,1913,0.0066578084625323,949,7.0156042808559536e-06,0.942927909744248,0.34808198448121935,0.353897327628384,0.05362491480577663,848677.1130888051
21,10024.0,2.7844444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0021.png,193,217,1344,646,477051,18309,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.778234011627907e-06,2.2176598837209304e-07,6e-06,0.036960998062015506,0.0024361757105943152,0.00026568836353547135,0.00038936798344810106,0.00035456400753397564,2086,0.007259899870801034,667,1.088440760240035e-05,0.9541010642098504,0.37040037208276444,0.364660161674836,0.06245817149423804,785648.1436078759
22,10924.0,3.0344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0022.png,193,217,1344,646,482457,12903,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.843713662790698e-06,1.5628633720930232e-07,6e-06,0.026047722868217053,0.0021368217054263568,0.00022304144504816712,0.00042223384752692694,0.0003905793655145733,1802,0.006271495478036177,892,7.0308245269463864e-06,0.9648173964483311,0.3685941941224726,0.375422995721288,0.034503832368490694,328988.540924182
23,11824.0,3.2844444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0023.png,193,217,1344,646,487160,8200,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.900678294573644e-06,9.93217054263566e-08,6e-06,0.016553617571059432,0.0016147286821705429,0.0001778063012096128,0.000444579295423161,0.00040745966212602793,1825,0.006351542312661499,729,8.712678069494512e-06,0.9739529037437203,0.37867837779804636,0.38618582976774,0.043394457719034746,303449.34944645275
24,12724.0,3.5344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0024.png,193,217,1344,646,490895,4465,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.945918120155039e-06,5.408187984496124e-08,6e-06,0.009013646640826873,0.0013991925064599483,0.00013120517146078908,0.0004506761830296444,0.0004092033357530868,1791,0.0062332122093023265,844,7.385322522870055e-06,0.9813373545536541,0.3826527258314188,0.396948663814192,0.03562597122056989,177154.49428599013
25,13624.0,3.7844444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0025.png,193,217,1344,646,493546,1814,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.9780281007751944e-06,2.19718992248062e-08,6e-06,0.0036619832041343667,0.0008492894056847545,8.362937726355363e-05,0.0005345534954520516,0.0004970376772223991,1409,0.00490373869509044,605,8.105353215025519e-06,0.9880157004316031,0.42287588373119483,0.407711497860644,0.09860086878897314,312723.22708002036
26,14524.0,4.0344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0026.png,193,217,1344,646,495258,102,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,5.998764534883721e-06,1.23546511627907e-09,6e-06,0.00020591085271317832,0.00020193798449612404,1.983080332580691e-05,0.0005695033457775539,0.0005247429900535976,1385,0.004820211563307494,664,7.25935476401731e-06,0.9941526774241723,0.4136166254334257,0.41847433190709604,0.06336907410629654,97456.74791895306
27,15424.0,4.2844444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0027.png,193,217,1344,646,495360,0,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,6e-06,0.0,6e-06,0.0,0.0,0.0,0.002151333812630419,0.002132750141821182,725,0.002523215439276486,2,0.001261607719638243,1.0,0.9005232762105984,0.429237165953548,0.06943887060586026,0.0
28,16324.0,4.5344444444444445,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\organized_gpu_ac3d_reproduction_20260527\data\dissolution_results-Da_40.4424_Pe_4.1640_L_0.1200_square\interface_images\timestep_0028.png,193,217,1344,646,495360,0,495360,0,1152,430,3.4722222222222224e-06,3.488372093023256e-06,6e-06,0.0,6e-06,0.0,0.0,0.0,0.002151333812630419,0.002132750141821182,725,0.002523215439276486,2,0.001261607719638243,1.0,0.895726501,0.44,0.0,0.0
